Category: All categories

Month,antivacina: (Brazil)
2014-01,0
2014-02,0
2014-03,6
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,3
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,3
2016-04,0
2016-05,0
2016-06,0
2016-07,6
2016-08,0
2016-09,6
2016-10,3
2016-11,0
2016-12,3
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,4
2017-06,3
2017-07,6
2017-08,4
2017-09,6
2017-10,8
2017-11,12
2017-12,4
2018-01,0
2018-02,4
2018-03,10
2018-04,6
2018-05,4
2018-06,3
2018-07,39
2018-08,29
2018-09,24
2018-10,19
2018-11,26
2018-12,4
2019-01,16
2019-02,22
2019-03,46
2019-04,28
2019-05,33
2019-06,31
2019-07,25
2019-08,77
2019-09,100
2019-10,82
2019-11,80
2019-12,20
